,link,description,gen_description
0,https://cdn-st.rutubelist.ru/media/b0/e9/ef285e0241139fc611318ed33071/fhd.mp4,"#нарезкистримов , #dota2 , #cs2 , #fifa23 , #minecraft , #майнкрафт , #геншин , #genshin","t 1 second, we see a green and white soccer ball on the field. In the next frame, a player is kicking the ball. The following frame shows a player kicking the ball into the goal. Then, there is a green and white soccer ball on the field. Next, there is a green and yellow soccer ball on the field. The next frame shows a player kicking the ball. Then, there is a green and yellow soccer ball on the field"
1,https://cdn-st.rutubelist.ru/media/39/6c/b31bc6864bef9d8a96814f1822ca/fhd.mp4,🤫НЕ ВВОДИ ЭТУ КОМАНДУ В РОБЛОКС ! #shorts #roblox #роблокс,"taken together, the video shows a 3D animated scene of a man riding a toy bike on an animated street, an animated man on a bicycle, a 3D animated picture of a man on a motorcycle, an animated man riding a bike on an animated street, and an animated man riding a bike on a red road. The video also includes scenes of a man in a helmet and a man riding a bicycle in"
2,https://cdn-st.rutubelist.ru/media/e9/e0/b47a9df14a5e97942715e5e705c0/fhd.mp4,"#boobs , #красивыедевушки , #ass","First, a young couple is seen sitting on a bed with a green sheet. The woman wears a white shirt with a black and white pattern, while the man wears a gray t-shirt. They both look happy and relaxed.

Next, the couple continues to enjoy their day together, looking adorable as they snuggle up together. They are seen lying on the bed, covering themselves with the green sheet.

Then, the couple takes pictures"
3,https://cdn-st.rutubelist.ru/media/87/43/b11df3f344d0af773aac81e410ee/fhd.mp4,,"video is a young woman who is holding a tarot card reader at a table. The woman is holding the cards with both hands, with the cards on a table in front of her. Behind her is a black and white background. She is also wearing a shirt, and there is a vase on the table as well. The woman's hands are shown holding the cards in different scenes. In one scene, she is shown holding the cards with her right hand, and in"
4,https://cdn-st.rutubelist.ru/media/d1/e7/642dc2194fcdb69664f832d5f2dd/fhd.mp4,,"The video begins with a man in a pink shirt sitting at a desk in an office. He is wearing a red tie and a jacket with a blue stripe. There are blue and white chairs in the room, along with a laptop and a black table. The walls are painted white.

Next, the man is sitting at the desk again, still wearing his jacket and tie. He appears to be speaking into a microphone in front of"
5,https://cdn-st.rutubelist.ru/media/e2/97/f9164f8a41479f961d64842154a7/fhd.mp4,,"taken from the 23rd floor of a hotel in Vienna, Austria?

First, the video shows a black and white photograph of a young woman wearing a white t-shirt and lying on a wooden floor in a dark room. She is surrounded by various objects including a white pillow, a large wooden door, and a wooden bench.

Next, the video switches to a sequence of photographs showing the same young woman lying on the same wooden floor"
6,https://cdn-st.rutubelist.ru/media/0f/48/8a1ff7324073947a31e80f71d001/fhd.mp4,#diy #постановка #юмор #комедия,"? Sure, the video shows a young man standing in a house while taking a photo with a phone. He is holding the camera while looking at himself in the mirror. In the background, there is a white table, a yellow pillow, a mirror on the wall, a green plant, a gray door, and a white chair. In the next scene, the young man is sitting on a white chair in the house and holding a book. He is wearing a black shirt with a"
7,https://cdn-st.rutubelist.ru/media/19/9c/98de3b4a4d9e83cb5dda828f899e/fhd.mp4,,
8,https://cdn-st.rutubelist.ru/media/bf/ee/85fb6b80491db79e8baebe5c9d80/fhd.mp4,#образ #lookbook #показ #неделямоды #капсула #ошибкивстиле #селебрити #интервью #перевоплощения #обувь #кроссовки,"First, a young woman in a shopping center holds in her hands a pair of white shoes, which are still wet from the cleaning process. Next, the same woman takes a pair of shoes off the ground and holds them in her hands. She then takes a pair of shoes from the ground and cleans them in her hands. After that, the woman places a pair of shoes on the ground. Then, the woman cleans the shoe and holds it in"
9,https://cdn-st.rutubelist.ru/media/fc/73/d86600d04e519178a55774dfe65e/fhd.mp4,#путешествия #journey #туризм,"In the video, we can see a blue airplane parked on the runway of an airport in Vietnam. The airplane is a blue and white airplane with a red tail, and it is parked in front of a building. The airport appears to be a busy one, with several people walking around. A car with a silver color is seen parked near the airplane, and the ground is made of pavement. The sky is blue and clear, and we"
